player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Maximilian Arnold,147289,VfL Wolfsburg,2524,germany,2122,2995,34,34,7.31,4,2,6,,,134,59,32.42,284,169,58.08,710,737,1388,83.21,33,53.23,29,0,0,0,,6,0,8,10,54,34,0,0,17,30,122,0,0,47,2,10.26,,53,46,7,2,2,,106,53.27,0,0,1,280,37,57,4,1,,0,0,0,1,0.0,0,0,0,0,466,17,0,0,0,0,0,0,0,0,0,748.75,16.67,12,2,37,16,15,12,85.71,0,37,20,54.05,57,238,14,182,139,53.26,291,1029,821,1668,248.5,39,3,2267,57,4,0
Vincenzo Grifo,171961,SC Freiburg,2538,germany,2122,2787,34,33,7.31,9,7,16,,,71,51,30.18,397,78,56.12,674,361,984,79.35,17,47.22,19,0,0,1,,13,5,21,4,25,34,0,0,28,17,98,0,0,11,2,13.24,,42,36,6,7,2,,91,53.53,0,0,1,256,13,67,0,1,,0,1,6,0,83.33,0,5,0,0,488,20,0,0,9,0,0,0,0,0,0,309.67,11.11,18,28,40,21,26,37,61.67,0,27,15,55.56,66,136,60,169,108,52.43,139,1004,405,1240,248.4,68,4,1796,27,0,0
David Raum,856076,TSG Hoffenheim,2569,germany,2122,2761,32,31,7.29,3,11,14,,,52,96,30.87,318,65,46.43,619,584,1107,79.47,29,44.62,36,0,0,0,,19,0,8,4,36,32,0,0,15,34,142,1,0,27,0,12.0,,57,52,5,3,0,,116,52.25,0,0,1,286,27,86,3,7,,1,3,0,0,0.0,0,0,0,0,638,17,0,0,0,0,0,0,0,0,0,920.33,0.0,5,12,13,9,8,33,49.25,0,52,29,55.77,83,110,67,311,145,50.52,140,1015,689,1393,233.3,25,5,2406,32,5,0
Borna Sosa,357584,VfB Stuttgart,2677,germany,2122,2499,28,28,7.26,1,8,9,,,69,69,28.87,314,53,50.48,642,432,1005,77.91,20,51.28,19,0,0,0,,9,1,7,3,56,28,0,0,15,14,76,0,0,13,0,4.0,,47,39,8,1,0,,83,59.29,0,0,1,285,26,61,1,0,,0,0,0,0,0.0,0,0,0,0,559,12,0,0,0,0,0,0,0,0,0,2499.0,0.0,2,8,17,12,6,35,70.0,0,22,12,54.55,61,145,50,239,103,57.54,105,1022,507,1290,203.2,25,2,2126,26,4,0
Patrik Schick,280609,Bayer 04 Leverkusen,2681,germany,2122,2093,27,26,7.26,24,3,27,,,3,0,0.0,87,6,54.55,186,95,281,68.87,55,42.97,73,0,0,1,,3,14,10,0,28,27,0,0,21,8,140,0,0,13,0,26.67,,35,32,3,23,1,,42,38.53,4,0,4,127,3,16,14,6,,0,0,2,0,50.0,0,1,0,0,240,8,0,0,6,0,0,0,0,0,0,87.21,0.0,2,78,12,35,45,15,36.59,0,5,2,40.0,16,5,41,3,97,40.93,11,280,131,408,195.9,90,5,731,22,0,0
Filip Kostić,126588,Eintracht Frankfurt,2674,germany,2122,2524,31,28,7.25,4,9,13,,,60,103,27.91,215,60,49.18,470,348,715,69.69,12,48.0,13,0,0,0,,16,1,22,5,20,31,0,0,33,33,143,0,0,16,1,7.84,,42,38,4,3,1,,90,40.91,0,0,1,311,15,88,4,3,,0,1,0,0,0.0,0,0,0,0,757,27,0,0,0,0,0,0,0,0,0,631.0,11.11,9,21,30,11,18,26,34.21,0,44,17,38.64,87,125,76,369,102,41.63,122,972,423,1026,224.6,51,3,2020,22,2,0
Kerem Demirbay,142619,Bayer 04 Leverkusen,2681,germany,2122,2053,29,23,7.23,1,4,5,,,94,43,28.29,239,117,69.64,585,475,1017,81.62,11,36.67,19,0,0,1,,6,1,15,3,20,29,0,0,23,25,114,0,0,34,0,2.63,,29,25,4,1,0,,109,53.43,0,0,1,229,33,48,1,3,,0,2,2,0,50.0,0,1,0,0,416,7,0,0,0,0,0,0,0,0,0,2053.0,0.0,6,14,24,10,13,28,66.67,0,52,31,59.62,46,153,42,152,120,51.28,168,861,537,1246,209.8,38,3,1778,29,10,0
Alassane Pléa,192308,Borussia M'gladbach,2527,germany,2122,1988,32,23,7.23,9,6,15,,,37,7,24.14,250,39,66.1,407,151,551,75.38,15,30.0,35,0,0,0,,14,5,17,1,9,30,0,0,21,13,120,0,0,19,0,15.0,,45,40,5,9,0,,73,46.2,2,0,1,180,4,56,1,13,,0,0,3,0,100.0,0,3,0,0,307,13,0,0,6,0,0,0,0,0,0,220.89,0.0,0,42,18,17,26,32,50.0,0,18,14,77.78,56,64,64,29,88,42.31,59,587,173,731,217.0,60,7,1067,24,4,0
Jonas Wind,826069,VfL Wolfsburg,2524,germany,2122,1185,14,14,7.23,5,2,7,,,13,0,0.0,92,8,42.11,161,83,244,66.12,54,49.54,55,0,0,0,,5,3,8,1,13,14,0,0,20,3,98,0,0,14,0,13.89,,20,17,3,5,0,,51,54.26,0,0,2,125,6,16,2,7,,0,0,0,0,0.0,0,0,0,0,183,8,0,0,3,0,0,0,0,0,0,237.0,0.0,0,27,9,12,16,10,62.5,0,10,6,60.0,16,21,16,5,105,51.72,19,258,116,369,101.2,36,1,560,31,0,0
Anthony Modeste,21931,1. FC Köln,2671,germany,2122,2615,32,31,7.21,20,3,23,,,11,2,16.67,94,12,60.0,164,125,287,65.68,96,53.04,85,0,0,0,,4,15,9,2,29,32,0,0,23,15,169,0,0,38,0,18.69,,41,38,3,19,1,,45,34.88,10,0,2,150,4,20,1,36,,0,0,1,0,100.0,0,1,0,1,264,11,0,0,9,0,0,0,0,0,0,130.75,0.0,0,96,11,54,44,5,35.71,0,10,6,60.0,20,17,14,12,141,45.48,20,304,145,437,230.7,107,3,796,33,4,0
Max Kruse,26687,VfL Wolfsburg,2524,germany,2122,2418,30,30,7.21,12,5,17,,,50,20,26.67,226,53,59.55,428,267,675,74.5,24,36.92,41,0,0,0,,11,6,13,2,5,30,0,0,16,21,99,0,0,7,0,24.0,,34,27,7,12,0,,54,48.21,1,0,3,231,6,43,8,6,,0,0,5,0,100.0,0,5,0,1,383,19,0,0,3,0,0,0,0,0,0,201.5,0.0,3,33,17,15,22,23,60.53,0,13,4,30.77,43,86,38,75,78,44.07,89,651,330,906,216.2,50,2,1280,18,1,0
Florian Grillitsch,186719,TSG Hoffenheim,2569,germany,2122,1495,18,16,7.21,0,0,0,,,75,3,27.27,153,118,72.84,368,569,934,89.38,23,46.0,27,0,0,0,,1,1,2,6,36,18,0,0,5,14,60,0,1,12,0,0.0,,23,19,4,0,0,,66,66.67,0,0,1,111,29,11,0,0,,0,0,0,1,0.0,0,0,0,0,139,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,6,4,2,5,62.5,0,37,19,51.35,11,109,8,11,89,59.73,162,451,605,1045,129.7,8,3,1259,24,7,0
Julian Brandt,226978,Borussia Dortmund,2673,germany,2122,2081,31,22,7.2,9,8,17,,,29,37,28.91,326,36,66.67,648,364,975,82.63,15,38.46,24,0,0,0,,7,2,7,0,11,31,0,0,31,37,130,1,0,12,0,26.47,,33,29,4,7,2,,91,46.19,0,0,0,205,24,45,3,2,,0,1,0,0,0.0,0,0,0,0,420,15,0,0,6,0,0,0,0,0,0,231.22,0.0,0,19,15,12,15,38,58.46,0,37,19,51.35,44,52,65,128,106,44.92,54,888,420,1180,223.2,34,5,1674,16,3,0
Lennart Grill,836710,Bayer 04 Leverkusen,2681,germany,2122,90,1,1,7.2,0,0,0,,,2,0,0.0,1,7,35.0,4,23,27,67.5,0,0.0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,2,2,0,0,0,-0.16,0,0.0,0,0,0,13,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,13,0,0,0,0,0,2,3,5,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,3,0,0,0,0.0,20,11,29,40,7.2,0,0,53,0,0,0
Philipp Klement,147306,VfB Stuttgart,2677,germany,2122,338,6,3,7.18,1,0,1,,,20,4,33.33,57,19,67.86,114,96,206,83.4,1,14.29,6,0,0,0,,3,0,2,0,0,6,0,0,1,0,11,0,0,2,0,16.67,,8,7,1,1,0,,12,70.59,0,0,0,41,1,8,1,1,,0,0,0,0,0.0,0,0,0,0,59,2,0,0,0,0,0,0,0,0,0,338.0,0.0,2,2,4,2,2,4,66.67,0,7,3,42.86,8,33,6,12,13,54.17,28,154,105,247,43.1,6,1,304,1,0,0
Marco Reus,37092,Borussia Dortmund,2673,germany,2122,2511,29,29,7.18,9,12,21,,,27,14,35.0,374,35,70.0,659,341,986,82.86,8,25.0,24,0,0,0,,9,15,11,3,37,29,0,0,33,26,142,1,0,22,0,17.65,,45,39,6,9,0,,117,49.79,0,0,2,204,12,52,5,10,,0,0,0,0,0.0,0,0,0,3,377,17,0,0,4,0,0,0,0,0,0,279.0,0.0,8,36,15,18,22,28,42.42,0,45,30,66.67,52,48,66,40,125,46.82,50,850,380,1190,208.3,51,4,1695,44,2,0
Lucas Höler,280009,SC Freiburg,2538,germany,2122,2597,34,30,7.16,7,2,9,,,25,7,30.43,282,11,44.0,427,184,604,68.4,126,54.08,107,0,0,0,,9,4,7,2,36,34,0,0,44,15,224,1,1,36,0,11.67,,38,34,4,7,0,,123,51.25,2,0,3,279,17,41,1,14,,0,0,0,0,0.0,0,0,0,1,467,25,0,0,3,0,0,0,0,0,0,371.0,0.0,0,44,16,27,26,21,44.68,0,41,25,60.98,41,45,47,23,249,52.64,25,660,246,883,243.5,60,2,1422,61,2,0
Willi Orbán,136924,RB Leipzig,36360,germany,2122,2646,30,30,7.16,2,1,3,,,52,1,33.33,121,64,43.54,499,1318,1816,89.24,100,61.35,63,0,0,0,,2,2,4,8,121,30,0,0,2,12,91,1,1,12,0,9.52,,29,27,2,2,0,,65,69.89,2,0,1,219,44,6,0,3,,0,0,0,0,0.0,0,0,0,0,244,2,0,0,0,0,0,0,0,0,0,1323.0,0.0,0,19,2,9,8,4,66.67,0,32,22,68.75,6,97,6,3,165,64.45,147,633,1405,2035,214.8,21,4,2415,29,1,0
Ellyes Skhiri,591706,1. FC Köln,2671,germany,2122,1820,22,20,7.15,4,1,5,,,54,1,16.67,139,49,67.12,332,469,800,84.57,35,60.34,23,0,0,0,,1,0,3,1,30,22,0,0,18,19,87,0,1,18,0,17.39,,25,23,2,4,0,,85,57.05,1,0,0,146,37,15,1,2,,0,0,0,0,0.0,0,0,0,0,197,7,0,0,2,0,0,0,0,0,0,455.0,0.0,0,15,8,12,8,10,50.0,0,55,33,60.0,15,70,20,6,120,57.97,73,428,524,946,157.3,23,2,1273,21,3,0
Jeremiah St. Juste,787640,1. FSV Mainz 05,2556,germany,2122,605,8,7,7.15,1,0,1,,,12,1,16.67,29,27,51.92,70,158,227,78.28,24,60.0,16,0,0,0,,0,1,2,4,13,8,0,0,2,1,33,0,0,14,0,8.33,,4,4,0,1,0,,22,56.41,0,0,0,63,14,3,0,0,,0,0,0,0,0.0,0,0,0,0,76,0,0,0,1,0,0,0,0,0,0,605.0,0.0,1,8,4,7,3,1,33.33,0,13,9,69.23,3,31,3,6,46,58.23,52,112,184,290,57.2,12,1,389,8,0,0
Timo Hübers,387220,1. FC Köln,2671,germany,2122,1742,20,20,7.15,1,0,1,,,40,0,0.0,61,77,48.43,227,814,1041,82.95,51,56.67,39,0,0,0,,0,2,0,4,92,20,0,0,4,18,84,0,0,26,0,10.0,,26,22,4,1,0,,75,62.5,0,0,1,214,52,0,0,0,,1,0,0,0,0.0,0,0,0,0,239,1,0,0,1,0,0,0,0,0,0,1742.0,0.0,0,9,1,7,3,6,85.71,0,45,27,60.0,0,96,7,0,126,60.0,159,341,914,1255,143.0,10,2,1578,24,7,0
Dayot Upamecano,798583,FC Bayern München,2672,germany,2122,2208,28,25,7.15,1,6,7,,,93,0,0.0,264,146,63.76,827,1209,2036,90.09,62,59.05,43,0,0,0,,4,0,2,7,68,28,0,0,8,12,94,2,4,28,0,9.09,,27,23,4,1,0,,88,63.31,1,0,0,224,32,12,0,1,,0,1,0,1,0.0,0,0,0,0,258,5,0,0,0,0,0,0,0,0,0,2208.0,0.0,0,9,2,7,2,11,68.75,0,66,42,63.64,11,160,16,2,150,61.48,229,967,1295,2260,200.1,11,4,2569,11,4,0
Mark Uth,110508,1. FC Köln,2671,germany,2122,2043,30,24,7.14,5,8,13,,,32,41,33.33,190,43,79.63,334,176,469,75.65,22,41.51,31,0,0,0,,9,5,21,0,11,30,0,0,30,34,163,0,0,34,0,7.14,,32,30,2,4,1,,102,43.59,0,0,3,151,14,56,4,11,,0,1,0,0,0.0,0,0,0,0,385,34,0,0,0,0,0,0,0,0,0,408.6,0.0,4,41,29,29,20,25,40.32,0,32,20,62.5,55,51,62,123,124,43.21,54,533,210,620,214.1,70,2,1188,45,3,0
Konstantinos Mavropanos,829022,VfB Stuttgart,2677,germany,2122,2711,31,31,7.13,4,0,4,,,112,1,14.29,149,189,57.98,445,909,1353,80.11,91,76.47,28,0,0,0,,0,3,9,2,166,31,0,0,10,21,91,0,2,22,0,12.12,,54,47,7,2,2,,95,60.13,0,0,2,336,69,10,1,2,,0,0,0,3,0.0,0,0,0,0,421,7,0,0,3,0,0,0,0,0,0,677.75,0.0,0,27,6,13,11,18,54.55,0,57,39,68.42,10,227,33,7,186,67.15,326,665,1031,1689,221.1,33,5,2397,20,3,0
Evan Ndicka,848287,Eintracht Frankfurt,2674,germany,2122,2858,32,32,7.12,4,4,8,,,37,2,16.67,119,66,33.5,398,1165,1561,84.2,112,62.92,66,0,0,0,,3,2,5,5,132,32,0,0,6,15,132,0,0,42,0,15.38,,46,41,5,4,0,,87,56.86,2,0,1,293,48,11,2,4,,1,0,0,1,0.0,0,0,0,0,341,6,0,0,0,0,0,0,0,0,0,714.5,0.0,0,26,0,16,5,13,81.25,0,60,34,56.67,11,113,16,12,199,60.12,197,603,1263,1854,227.9,26,4,2345,14,3,0
Leon Goretzka,184661,FC Bayern München,2672,germany,2122,1405,19,19,7.12,3,3,6,,,30,3,33.33,210,28,53.85,406,296,699,83.91,31,67.39,15,0,0,0,,3,5,10,3,22,19,0,0,13,15,62,0,2,15,0,6.67,,17,15,2,3,0,,45,48.91,1,0,2,134,17,28,0,1,,0,0,0,0,0.0,0,0,0,0,191,10,0,0,2,0,0,0,0,0,0,468.33,0.0,0,28,17,23,12,10,71.43,0,25,15,60.0,28,64,14,9,76,55.07,52,517,325,833,135.3,45,1,1076,10,0,0
Angeliño,848355,RB Leipzig,36360,germany,2122,2299,29,26,7.12,2,5,7,,,76,57,30.48,260,58,33.92,532,379,854,76.73,11,32.35,23,0,0,0,,11,0,1,5,31,29,0,0,19,17,77,0,0,15,0,16.67,,31,30,1,2,0,,77,58.78,0,0,0,259,29,53,2,4,,0,0,0,0,0.0,0,0,0,0,489,9,0,0,0,0,0,0,0,0,0,1149.5,0.0,0,10,2,4,7,14,73.68,0,28,21,75.0,53,166,19,187,88,53.33,171,852,448,1113,206.5,12,2,1790,35,3,0
Nicolas Höfler,49639,SC Freiburg,2538,germany,2122,2603,30,30,7.12,2,4,6,,,49,0,0.0,196,41,53.95,472,514,986,83.7,65,57.52,48,0,0,0,,3,1,7,6,41,30,0,0,12,35,147,0,0,47,0,6.06,,44,38,6,2,0,,135,57.69,2,0,2,192,46,18,0,0,,0,0,0,1,0.0,0,0,0,1,254,11,0,0,0,0,0,0,0,0,0,1301.5,0.0,0,20,13,15,11,23,76.67,0,73,42,57.53,18,81,30,7,200,57.64,76,620,565,1178,213.5,33,3,1601,40,5,0
Danilo Soares,121551,VfL Bochum 1848,2542,germany,2122,2566,30,30,7.11,0,1,1,,,57,10,15.15,234,77,45.03,435,534,959,75.75,47,61.04,30,0,0,0,,4,0,5,7,62,30,0,0,20,28,141,0,2,34,0,0.0,,41,37,4,0,0,,187,62.75,0,0,1,307,62,19,0,0,,0,0,0,2,0.0,0,0,0,0,517,14,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2,11,7,1,36,55.38,0,109,71,65.14,19,134,65,66,234,62.4,171,701,631,1266,213.4,13,2,2225,42,4,0
Benjamin Pavard,787505,FC Bayern München,2672,germany,2122,2080,25,24,7.11,0,1,1,,,84,10,25.64,360,81,55.48,854,854,1698,88.07,46,73.02,17,0,0,0,,1,0,5,7,50,25,0,1,5,10,49,0,1,17,0,0.0,,25,21,4,0,0,,47,59.49,0,0,0,230,36,20,0,2,,0,2,0,0,0.0,0,0,0,0,292,10,0,1,0,0,0,0,0,0,0,0.0,0.0,0,8,10,10,3,3,75.0,0,35,20,57.14,18,146,4,39,93,65.49,146,1026,941,1928,177.7,18,3,2338,10,2,0
Joško Gvardiol,964994,RB Leipzig,36360,germany,2122,2413,29,28,7.1,2,2,4,,,80,2,25.0,242,100,50.25,661,1061,1720,83.98,53,59.55,36,0,0,0,,4,1,5,7,56,29,0,0,20,17,124,0,2,41,0,8.7,,28,26,2,2,0,,118,57.28,1,0,0,328,51,12,1,1,,1,1,0,0,0.0,0,0,0,0,414,11,0,0,0,0,0,0,0,0,0,1206.5,0.0,0,15,8,11,7,37,75.51,0,47,31,65.96,11,186,49,8,171,57.97,199,868,1188,2048,205.9,23,1,2535,34,7,0
Michaël Cuisance,826208,FC Bayern München,2672,germany,2122,12,1,0,7.1,0,0,0,,,0,0,0.0,3,1,100.0,7,3,10,90.91,0,0.0,0,0,0,0,,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0.0,,0,0,0,0,0,,2,50.0,0,0,0,1,0,1,0,0,,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,0,1,1,100.0,1,1,1,0,2,50.0,1,8,3,11,7.1,0,0,16,0,0,0
Sheraldo Becker,352544,1. FC Union Berlin,2547,germany,2122,1774,28,22,7.09,4,6,10,,,23,31,25.2,166,18,58.06,271,101,341,71.34,12,23.53,39,0,0,0,,14,2,9,0,4,28,0,0,19,12,107,0,0,26,0,10.81,,24,19,5,3,1,,57,45.6,1,0,1,137,2,42,0,10,,0,1,0,0,0.0,0,0,0,0,316,13,0,0,3,0,0,0,0,0,0,443.5,0.0,1,21,16,10,18,24,61.54,0,9,6,66.67,41,35,39,123,69,39.2,31,475,126,478,198.4,37,3,839,25,4,0
